#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00001   0.4375431   0.0   2.2e-06   0.4383843   0.0   0.218924   0.1459493   7e-07   0.4358377   0.0   2.2e-06   0.4373041   0.0   
00002   0.8750862   0.0   4.4e-06   0.8767687   0.0   0.437848   0.2918987   1.4e-06   0.8716755   0.0   4.4e-06   0.8746082   0.0   
00003   1.3126293   0.0   6.6e-06   1.315153   0.0   0.656772   0.437848   2.1e-06   1.3075132   0.0   6.5e-06   1.3119123   0.0   
00004   1.7501724   0.0   8.8e-06   1.7535374   0.0   0.8756961   0.5837974   2.7e-06   1.743351   0.0   8.7e-06   1.7492164   0.0   
00005   2.1877156   0.0   1.09e-05   2.1919217   0.0   1.0946201   0.7297467   3.4e-06   2.1791887   0.0   1.09e-05   2.1865205   0.0   
00006   2.6252587   0.0   1.31e-05   2.630306   0.0   1.3135441   0.8756961   4.1e-06   2.6150264   0.0   1.31e-05   2.6238246   0.0   
00007   3.0628018   0.0   1.53e-05   3.0686904   0.0   1.5324681   1.0216454   4.8e-06   3.0508642   0.0   1.53e-05   3.0611286   0.0   
00008   3.5003449   0.0   1.75e-05   3.5070747   0.0   1.7513921   1.1675948   5.5e-06   3.4867019   0.0   1.75e-05   3.4984327   0.0   
00009   3.937888   0.0   1.97e-05   3.9454591   0.0   1.9703161   1.3135441   6.2e-06   3.9225397   0.0   1.96e-05   3.9357368   0.0   
00010   4.3754311   0.0   2.19e-05   4.3838434   0.0   2.1892402   1.4594934   6.9e-06   4.3583774   0.0   2.18e-05   4.3730409   0.0   
00011   4.8129742   0.0   2.41e-05   4.8222277   0.0   2.4081642   1.6054428   7.5e-06   4.7942151   0.0   2.4e-05   4.810345   0.0   
00012   5.2505173   0.0   2.63e-05   5.2606121   0.0   2.6270882   1.7513921   8.2e-06   5.2300529   0.0   2.62e-05   5.2476491   0.0   
00013   5.6880604   0.0   2.85e-05   5.6989964   0.0   2.8460122   1.8973415   8.9e-06   5.6658906   0.0   2.84e-05   5.6849532   0.0   
00014   6.1256035   0.0   3.06e-05   6.1373807   0.0   3.0649362   2.0432908   9.6e-06   6.1017284   0.0   3.05e-05   6.1222573   0.0   
00015   6.5631467   0.0   3.28e-05   6.5757651   0.0   3.2838602   2.1892402   1.03e-05   6.5375661   0.0   3.27e-05   6.5595614   0.0   
00016   7.0006898   0.0   3.5e-05   7.0141494   0.0   3.5027843   2.3351895   1.1e-05   6.9734038   0.0   3.49e-05   6.9968655   0.0   
00017   7.4382329   0.0   3.72e-05   7.4525338   0.0   3.7217083   2.4811388   1.16e-05   7.4092416   0.0   3.71e-05   7.4341696   0.0   
00018   7.875776   0.0   3.94e-05   7.8909181   0.0   3.9406323   2.6270882   1.23e-05   7.8450793   0.0   3.93e-05   7.8714736   0.0   
00019   8.3133191   0.0   4.16e-05   8.3293024   0.0   4.1595563   2.7730375   1.3e-05   8.280917   0.0   4.15e-05   8.3087777   0.0   
00020   8.7508622   0.0   4.38e-05   8.7676868   0.0   4.3784803   2.9189869   1.37e-05   8.7167548   0.0   4.36e-05   8.7460818   0.0   
00021   9.1884053   0.0   4.6e-05   9.2060711   0.0   4.5974043   3.0649362   1.44e-05   9.1525925   0.0   4.58e-05   9.1833859   0.0   
00022   9.6259484   0.0   4.82e-05   9.6444555   0.0   4.8163284   3.2108856   1.51e-05   9.5884303   0.0   4.8e-05   9.62069   0.0   
00023   10.0634915   0.0   5.03e-05   10.0828398   0.0   5.0352524   3.3568349   1.58e-05   10.024268   0.0   5.02e-05   10.0579941   0.0   
00024   10.5010346   0.0   5.25e-05   10.5212241   0.0   5.2541764   3.5027843   1.64e-05   10.4601058   0.0   5.24e-05   10.4952982   0.0   
00025   10.9385777   0.0   5.47e-05   10.9596085   0.0   5.4731004   3.6487336   1.71e-05   10.8959435   0.0   5.45e-05   10.9326023   0.0   
00026   11.3761209   0.0   5.69e-05   11.3979928   0.0   5.6920244   3.794683   1.78e-05   11.3317812   0.0   5.67e-05   11.3699064   0.0   
00027   11.813664   0.0   5.91e-05   11.8363772   0.0   5.9109484   3.9406323   1.85e-05   11.767619   0.0   5.89e-05   11.8072105   0.0   
00028   12.2512071   0.0   6.13e-05   12.2747615   0.0   6.1298724   4.0865816   1.92e-05   12.2034567   0.0   6.11e-05   12.2445145   0.0   
00029   12.6887502   0.0   6.35e-05   12.7131458   0.0   6.3487965   4.232531   1.99e-05   12.6392945   0.0   6.33e-05   12.6818186   0.0   
00030   13.1262933   0.0   6.57e-05   13.1515302   0.0   6.5677205   4.3784803   2.06e-05   13.0751322   0.0   6.55e-05   13.1191227   0.0   
00031   13.5638364   0.0   6.79e-05   13.5899145   0.0   6.7866445   4.5244297   2.12e-05   13.5109699   0.0   6.76e-05   13.5564268   0.0   
00032   14.0013795   0.0   7.01e-05   14.0282989   0.0   7.0055685   4.670379   2.19e-05   13.9468077   0.0   6.98e-05   13.9937309   0.0   
00033   14.4389226   0.0   7.22e-05   14.4666832   0.0   7.2244925   4.8163284   2.26e-05   14.3826454   0.0   7.2e-05   14.431035   0.0   
00034   14.8764657   0.0   7.44e-05   14.9050675   0.0   7.4434165   4.9622777   2.33e-05   14.8184832   0.0   7.42e-05   14.8683391   0.0   
